description,category,urgency_score,urgency_level,location_type,category_label,urgency_label
"One-way sign cracked with a loose edge near a school, traffic slows while drivers confirm the route.",road_damaged_sign,4.5,medium,school,6,3
"Main sewer line filled with mud after rain after recent rain, water is entering nearby shops.",drainage,7.5,high,market,1,1
"Taxis parked at a busy junction, drivers cannot see approaching vehicles.",illegal_parking,8.0,high,market,3,1
Deep potholes damaging the road surface near the road junction.,infrastructure,9.5,high,highway,4,1
Yo khadal le bike chalauna garo bhako cha. Yaha bata hidna garo bhako cha.,pothole,8.5,high,hospital,5,1
"Motorcycles blocking a public bus stop, buses are stopping in the traffic lane.",illegal_parking,6.5,high,commercial,3,1
Household waste has been left outside for several days. The bin is too full to hold more waste.,garbage,2.0,low,market,2,2
"Cars left over a zebra crossing after recent rain, pedestrians are walking into traffic.",illegal_parking,7.5,high,public,3,1
सडक संकेत व्यापारिक क्षेत्र को चोकमा भत्किएर दुर्घटनाको डर भएको छ। नयाँ साइन राख्नुपर्यो।,road_damaged_sign,6.5,medium,commercial,6,3
Plastic bags and food waste are spread around the area. People are avoiding that part of the street.,garbage,7.5,high,market,2,1
प्लास्टिक र कागजको फोहोर बतासले उडेर व्यापारिक क्षेत्र तिर फैलिएको छ। बाटो र क्षेत्र फोहोर भइरहेको छ।,trash,4.7,medium,commercial,7,3
"A large pile of rubbish has been left beside the roadside near a frequently used pedestrian route, near the main road junction.",trash,4.0,medium,highway,7,3
"School boundary wall marked with offensive words near an industrial road, children can see inappropriate language.",vandalism,7.0,high,industrial,8,1
"Landslide warning sign turned toward the wrong road near a market, motorcycles are braking suddenly.",road_damaged_sign,7.5,high,market,6,1
Garbage is collecting near houses and the smell is getting worse. The bin is too full to hold more waste.,garbage,5.0,medium,residential,2,3
There is rubbish around the road and it needs cleaning. The area can be cleaned during the normal collection.,garbage,2.5,low,school,2,2
"Rental cars blocking a hospital entrance after recent rain, ambulances are delayed.",illegal_parking,9.5,critical,hospital,3,0
The road has a damaged patch with a noticeable hole. The edge of the road is also starting to break.,pothole,6.5,high,hospital,5,1
घरघरबाट आएको फोहोर व्यापारिक क्षेत्र को ढलसम्म पुगेको छ। फोहोर चाँडै उठाउनुपर्यो।,domestic_trash,5.8,medium,commercial,0,3
"Culvert leaking near a hospital since yesterday, dirty water is crossing the entrance.",drainage,8.5,high,hospital,1,1
The public bin is full and people are putting bags beside it. Residents are asking for the waste to be picked up.,garbage,5.5,medium,school,2,3
सडकको सतह भत्किएर व्यापारिक क्षेत्र मा गाडी चलाउन गाह्रो भएको छ। सरकारले चाँडै हेर्नुपर्यो।,infrastructure,6.0,medium,commercial,4,3
"Temple wall left with official lettering blacked out on a highway, the culturally important surface is damaged.",vandalism,7.5,high,highway,8,1
"Minibuses parked at a busy junction since yesterday, drivers cannot see approaching vehicles.",illegal_parking,8.0,high,market,3,1
Deep potholes damaging the road surface at the residential lane.,infrastructure,4.5,medium,residential,4,3
Household waste has been left outside for several days. The smell is noticeable around the area.,garbage,3.0,low,school,2,2
Food waste is scattered around because dogs are tearing the bags. There are food leftovers mixed with plastic.,garbage,5.0,medium,hospital,2,3
"A streetlight pole has been damaged and is leaning toward the pedestrian walkway, near the community area.",infrastructure,7.0,high,public,4,1
There is a broken section of road near the walking path. The hole is making the road uncomfortable to use.,pothole,7.0,high,market,5,1
"Park signboard scraped across the surface near a school, emergency contact details are blocked.",vandalism,7.5,high,school,8,1
Garbage bags are broken and the waste is spread across the sidewalk. Flies are gathering around the waste.,garbage,3.5,low,school,2,2
सिग्नल बोर्ड राजमार्ग मा पुरानो भएर मानिसहरूले देख्न सक्दैनन्। नयाँ साइन राख्नुपर्यो।,road_damaged_sign,7.4,high,highway,6,1
"Cargo vans left beside a no-parking sign in Dharan, traffic is moving slowly.",illegal_parking,6.0,medium,commercial,3,3
दिशा सूचक बोर्ड आवासीय क्षेत्र बाट हराएर चालकहरू भ्रमित भइरहेका छन्। छिटो मर्मत गर्नुपर्यो।,road_damaged_sign,5.2,high,residential,6,1
Loose paving blocks near the entrance near the warehouse.,infrastructure,3.5,low,industrial,4,2
Khadal ma pani bhareko le kati deep cha thaha hudaina. Bato banaidina paryo.,pothole,3.5,low,hospital,5,2
"Buses blocking a residential driveway, residents cannot move their vehicles.",illegal_parking,4.5,medium,residential,3,3
"Government vehicles left near an industrial gate in Birgunj, large vehicles have little turning space.",illegal_parking,6.5,high,industrial,3,1
The road surface is broken and there is a pothole in the middle. The edge of the road is also starting to break.,pothole,3.0,low,hospital,5,2
"Motorcycles left beside a no-parking sign, traffic is moving slowly.",illegal_parking,6.0,medium,commercial,3,3
There is a hole on the street that drivers are trying to avoid. Motorcycles are slowing down at that point.,pothole,5.0,medium,hospital,5,3
"Health-post wall scraped across the surface near an industrial road, patients cannot read the service details.",vandalism,6.5,high,industrial,8,1
Uncollected kitchen waste is piling up outside several homes and creating a strong unpleasant smell along the hospital access road.,domestic_trash,6.0,medium,hospital,0,3
There is a bad smell coming from the garbage near the street. The waste is close to the walking path.,garbage,8.5,high,market,2,1
Household rubbish blocking the pavement on the public road.,domestic_trash,7.0,high,public,0,1
Garbage bags are broken and the waste is spread across the sidewalk. The waste is close to a drain and is affecting water flow.,garbage,8.0,high,hospital,2,1
"Junction sign faded and unreadable near an industrial road, vehicles are entering from conflicting directions.",road_damaged_sign,9.5,critical,industrial,6,0
There are potholes on the street and motorcycles are struggling to pass. It is on a road used by many people.,pothole,5.5,medium,school,5,3
ट्रक र बसहरू औद्योगिक क्षेत्र को बाटो छेकेर पार्किङ गरेका छन्। छिटो कारबाही गर्नुपर्यो।,illegal_parking,6.5,medium,industrial,3,3
"Domestic waste is overflowing from a collection area and spreading into the nearby residential road, beside the school boundary.",domestic_trash,7.0,high,school,0,1
"फोहोर मैला संकलन नभएको धेरै दिन भयो, व्यापारिक क्षेत्र मा फोहोरको थुप्रो जम्मा भएको छ। छिटो फोहोर उठाइदिनुपर्यो।",trash,5.9,medium,commercial,7,3
"Motorcycles left beside a no-parking sign after recent rain, traffic is moving slowly.",illegal_parking,6.0,medium,commercial,3,3
"Road divider damaged with permanent marker on a highway, sharp parts are exposed beside pedestrians.",vandalism,8.0,high,highway,8,1
"Trucks parked along a highway shoulder since yesterday, fast traffic is swerving around them.",illegal_parking,7.5,high,highway,3,1
"Rental cars left over a zebra crossing in Pokhara since yesterday, pedestrians are walking into traffic.",illegal_parking,7.5,high,public,3,1
"Government vehicles parked at a busy junction after recent rain, drivers cannot see approaching vehicles.",illegal_parking,8.0,high,market,3,1
"Bus-stop sign knocked down in a commercial area, people cannot identify the correct bus stop.",road_damaged_sign,4.0,low,commercial,6,2
A pothole is making vehicles move to the other side of the road. The road section is breaking further and traffic is being affected.,pothole,9.0,critical,school,5,0
"Community drain overflowing near a school, children are walking through dirty water.",drainage,7.5,high,school,1,1
"Pedestrian underpass scraped across the surface on a residential road, the markings are small but visible.",vandalism,3.5,low,residential,8,2
Discarded food packaging is covering part of the pavement near the shopping area near nearby homes.,trash,3.0,low,residential,7,2
"An overflowing public bin has caused plastic bottles and food containers to spill onto the pavement, along the student walkway.",trash,3.0,low,school,7,2
ढल लाइन राजमार्ग मा फुटेर दुर्गन्ध आइरहेको छ। नाला सफा गर्नुपर्यो।,drainage,7.3,high,highway,1,1
"School-zone sign missing from its pole on a highway, vehicles are braking when people enter the road.",road_damaged_sign,8.0,high,highway,6,1
"Private cars parked across a school gate, children are entering through traffic.",illegal_parking,7.5,high,school,3,1
Public waste has accumulated beside the entrance and is creating an unpleasant smell for visitors along the student walkway.,trash,5.0,medium,school,7,3
"Rubbish has been dumped near the hospital access road and is obstructing part of the walkway, along the student walkway.",trash,3.5,low,school,7,2
A hole has formed in the road and it is difficult for vehicles to pass. Drivers have to brake suddenly when they notice it.,pothole,8.5,high,hospital,5,1
बाटो साँघुरो भएर व्यापारिक क्षेत्र मा ट्राफिक जाम भइरहेको छ पार्किङका कारण। छिटो कारबाही गर्नुपर्यो।,illegal_parking,5.2,medium,commercial,3,3
Garbage bags torn open by dogs on the highway.,domestic_trash,8.5,high,highway,0,1
"Ward-office gate covered with illegal advertising near a hospital, emergency contact details are blocked.",vandalism,7.5,high,hospital,8,1
Broken barrier blocking part of the road at at the school entrance.,infrastructure,4.5,medium,school,4,3
"Taxis parked on both sides of a narrow road, emergency vehicles cannot pass.",illegal_parking,9.5,critical,hospital,3,0
Deep potholes damaging the road surface at the hospital.,infrastructure,9.0,high,hospital,4,1
"Ward-office gate left with official lettering blacked out near a hospital, emergency contact details are blocked.",vandalism,7.5,high,hospital,8,1
"One-way sign turned toward the wrong road near a school, traffic slows while drivers confirm the route.",road_damaged_sign,4.0,low,school,6,2
"A large crack has developed across the concrete pavement, creating a serious trip hazard for pedestrians outside several houses.",infrastructure,9.0,high,residential,4,1
"Rental cars parked across a school gate since yesterday, children are entering through traffic.",illegal_parking,8.0,high,school,3,1
The garbage container is overflowing and waste is on the road. Dogs are opening the bags and spreading the waste.,garbage,7.5,high,market,2,1
"Stop sign hidden by branches on a residential road, drivers are taking wrong turns and causing traffic.",road_damaged_sign,6.5,high,residential,6,1
The road is uneven because of a pothole. Water collects inside the hole after rain.,pothole,8.5,high,school,5,1
"Community hall covered with political slogans in a commercial area, the markings are small but visible.",vandalism,3.5,low,commercial,8,2
Mixed litter blocking the footpath outside houses.,trash,5.0,medium,residential,7,3
Trash bags scattered on the street at the highway shoulder.,domestic_trash,4.0,medium,highway,0,3
Household trash bags are scattered across the residential street after being torn open by stray dogs along the student walkway.,domestic_trash,3.5,low,school,0,2
The garbage container is overflowing and waste is on the road. The pile is spreading widely and creating a severe sanitation problem.,garbage,9.5,critical,market,2,0
"Open drain leaking near a hospital after recent rain, dirty water is crossing the entrance.",drainage,9.0,critical,hospital,1,0
Loose paving blocks near the entrance on the highway.,infrastructure,9.5,high,highway,4,1
"Footbridge railing damaged with permanent marker on a residential road, the public facility is unsafe to use.",vandalism,7.0,high,residential,8,1
There is a pothole where water collects after rain. It is on a road used by many people.,pothole,5.5,medium,residential,5,3
There is a hole on the street that drivers are trying to avoid. Drivers can see it clearly during the day.,pothole,3.0,low,market,5,2
"Direction sign missing at the highway exit, drivers confused and taking wrong turns, causing traffic chaos",road_damaged_sign,7.0,high,hospital,6,1
There is waste scattered near the roadside and it needs to be collected. The waste is close to the walking path.,garbage,2.0,low,residential,2,2
Waste is blocking part of the footpath. Children are passing through the area every day.,garbage,5.0,medium,residential,2,3
There is a hole near the edge of the road where motorcycles pass. The damaged section is affecting normal traffic.,pothole,9.5,critical,school,5,0
Garbage is piling up near the footpath and making it difficult to pass. The garbage is increasing day by day.,garbage,7.5,high,residential,2,1
"Storm-water drain partly blocked by leaves since yesterday, water drains slowly during rain.",drainage,5.0,medium,public,1,3
"Several bags of household rubbish are blocking part of the footpath outside a row of homes, along the neighborhood road.",domestic_trash,2.5,low,residential,0,2
Mixed litter blocking the footpath on the public road.,trash,3.5,low,public,7,2
"Motorcycles parked fully on the footpath, pedestrians are forced onto the road.",illegal_parking,7.5,high,residential,3,1
"Landslide warning sign hanging from one bolt in Nepalgunj, night drivers cannot see the hazard.",road_damaged_sign,8.0,high,market,6,1
Garbage is collecting near houses and the smell is getting worse. The waste is close to the walking path.,garbage,9.5,critical,school,2,0
The road surface has broken away and left a hole. Motorcycles are at risk of losing balance near the hole.,pothole,7.0,high,market,5,1
"Hospital access drain blocked with plastic waste since yesterday, rainwater is flooding the road.",drainage,8.5,high,residential,1,1
ढल लाइन विद्यालय मा फुटेर दुर्गन्ध आइरहेको छ। सरकारले चाँडै हेर्नुपर्यो।,drainage,8.9,critical,school,1,0
"One-way sign covered by posters near a school, traffic slows while drivers confirm the route.",road_damaged_sign,3.5,low,school,6,2
Loose domestic rubbish has been blown across the street and into the drainage area after strong wind near the warehouse area.,domestic_trash,3.5,low,industrial,0,2
Household waste left outside homes at houses.,domestic_trash,8.0,high,residential,0,1
"Public rubbish has been left beside the community walkway and is affecting normal pedestrian access, along the public walkway.",trash,4.0,medium,public,7,3
"Bus-stop sign blocked by a vendor board in Biratnagar, buses are stopping in the traffic lane.",road_damaged_sign,7.5,high,commercial,6,1
"Public gutter damaged near a commercial area, wastewater is spreading on the footpath.",drainage,7.5,high,commercial,1,1
"The highway shoulder is badly damaged and contains loose concrete pieces that could affect traffic, beside the hospital walkway.",infrastructure,4.0,medium,hospital,4,3
"Road divider covered with spray-painted tags on a highway, sharp parts are exposed beside pedestrians.",vandalism,8.5,high,highway,8,1
"Parking restriction sign bent away from traffic near a hospital, parked cars are blocking junction visibility.",road_damaged_sign,7.5,high,hospital,6,1
"Bridge-load sign painted over on a residential road, heavy vehicles may enter an unsafe bridge.",road_damaged_sign,9.5,critical,residential,6,0
The street is dirty because garbage has not been collected. The waste is visible from the nearby road.,garbage,2.0,low,market,2,2
"Junction sign faded and unreadable near an industrial road, traffic slows while drivers confirm the route.",road_damaged_sign,4.5,medium,industrial,6,3
"Cross-road drain breeding mosquitoes, the area has an increased disease risk.",drainage,7.0,high,residential,1,1
ढल व्यापारिक क्षेत्र मा अवरुद्ध भएर फोहोर पानी बाहिर बगिरहेको छ। सरकारले चाँडै हेर्नुपर्यो।,drainage,6.2,medium,commercial,1,3
The waste area is attracting flies and has a strong smell. The bin is too full to hold more waste.,garbage,2.5,low,hospital,2,2
"Public gutter blocked on the highway since yesterday, waterlogging is slowing heavy traffic.",drainage,8.0,high,highway,1,1
"Footbridge railing badly scratched on a residential road, the public facility is unsafe to use.",vandalism,7.0,high,residential,8,1
"Microbuses blocking a public bus stop after recent rain, buses are stopping in the traffic lane.",illegal_parking,7.5,high,commercial,3,1
"Community drain covered by construction debris since yesterday, water cannot reach the outlet.",drainage,6.0,medium,industrial,1,3
"Cars parked across a school gate, children are entering through traffic.",illegal_parking,8.0,high,school,3,1
"Several households have placed overflowing rubbish bags along the roadside, narrowing the pedestrian path, beside the school boundary.",domestic_trash,3.5,low,school,0,2
A pothole is causing buses and cars to slow down. It is not affecting the normal movement of vehicles.,pothole,2.5,low,market,5,2
An overflowing public bin has caused plastic bottles and food containers to spill onto the pavement beside the hospital walkway.,trash,7.5,high,hospital,7,1
A pothole is causing buses and cars to slow down. The hole is creating a serious risk for people using the road.,pothole,9.0,critical,residential,5,0
The roadside drain has collapsed and left a deep open gap beside the pedestrian route.,infrastructure,8.5,high,residential,4,1
Trash bags scattered on the street at in the business area.,domestic_trash,4.5,medium,commercial,0,3
Wind has scattered plastic waste and paper across the area around an overflowing public bin along the neighborhood road.,trash,3.0,low,residential,7,2
"Junction sign bent away from traffic in Ghorahi, drivers are taking wrong turns and causing traffic.",road_damaged_sign,6.5,high,industrial,6,1
"Public waste has accumulated beside the entrance and is creating an unpleasant smell for visitors, along the neighborhood road.",trash,7.0,high,residential,7,1
ढल राजमार्ग मा अवरुद्ध भएर फोहोर पानी बाहिर बगिरहेको छ। मानिसहरूलाई स्वास्थ्य खतरा भएको छ।,drainage,7.8,high,highway,1,1
"Bus-stop sign fallen into a drain in a commercial area, passengers are stepping into moving traffic.",road_damaged_sign,7.5,high,commercial,6,1
"Stop sign cracked with a loose edge on a residential road, vehicles are entering from conflicting directions.",road_damaged_sign,8.5,high,residential,6,1
Garbage is piling up near the footpath and making it difficult to pass. The smell is noticeable around the area.,garbage,5.5,medium,market,2,3
"Discarded food packaging is covering part of the pavement near the shopping area, near the hospital entrance.",trash,8.5,high,hospital,7,1
The pothole is making it uncomfortable for people riding motorcycles. The damaged spot is limited to one small area.,pothole,2.0,low,residential,5,2
"सरकारी सम्पत्ति सार्वजनिक स्थान मा बिग्रेको छ, कसैले केही गरेन। छिटो सफा गर्नुपर्यो।",vandalism,4.9,low,public,8,2
A deep hole has formed in the public walkway and is difficult to notice during low-light conditions along the student walkway.,infrastructure,7.0,high,school,4,1
घरघरबाट आएको फोहोर विद्यालय को ढलसम्म पुगेको छ। मानिसहरूलाई धेरै समस्या भएको छ।,domestic_trash,7.7,critical,school,0,0
"Highway drain overflowing near a school, children are walking through dirty water.",drainage,7.5,high,school,1,1
"Pickup vehicles parked fully on the footpath in Nepalgunj since yesterday, pedestrians are forced onto the road.",illegal_parking,7.5,high,residential,3,1
ट्रक र बसहरू राजमार्ग को बाटो छेकेर पार्किङ गरेका छन्। ट्राफिक प्रहरीले हेर्नुपर्यो।,illegal_parking,7.6,high,highway,3,1
People are throwing waste in the open area and the pile is getting bigger. The bin is too full to hold more waste.,garbage,2.5,low,residential,2,2
"A damaged retaining wall is showing visible cracks and appears unstable beside the access road, near the main road junction.",infrastructure,5.5,medium,highway,4,3
"Main sewer line overflowing near a school after recent rain, children are walking through dirty water.",drainage,8.0,high,school,1,1
"Bridge-load sign covered by posters on a residential road, drivers are stopping to check the restriction.",road_damaged_sign,4.5,medium,residential,6,3
Trash bags scattered on the street near homes.,domestic_trash,6.5,medium,residential,0,3
"Community drain blocked with plastic waste after recent rain, rainwater is flooding the road.",drainage,7.5,high,residential,1,1
Garbage is piling up near the footpath and making it difficult to pass. Only a small amount of waste is there.,garbage,2.0,low,residential,2,2
There is a broken section of road near the walking path. It is on a road used by many people.,pothole,5.5,medium,hospital,5,3
Mixed litter has collected around a public waste container and is attracting insects and stray animals beside the highway access route.,trash,6.0,medium,highway,7,3
एम्बुलेन्स र आकस्मिक गाडी राजमार्ग बाट जान नसक्ने भएको छ। छिटो कारबाही गर्नुपर्यो।,illegal_parking,8.4,high,highway,3,1
घरायसी फोहोर ओभरफ्लो भएर अस्पताल को फुटपाथसम्म पुगेको छ। छिटो फोहोर उठाइदिनुपर्यो।,domestic_trash,9.3,critical,hospital,0,0
"Public wall left with official lettering blacked out near a school, the markings are small but visible.",vandalism,3.0,low,school,8,2
"The roadside drain has collapsed and left a deep open gap beside the pedestrian route, along the hospital access road.",infrastructure,5.0,medium,hospital,4,3
There is food waste on the street and stray dogs are spreading it. Rain is washing some of the waste onto the road.,garbage,3.5,low,residential,2,2
The road has a large uneven section caused by a pothole. The hole is making the road uncomfortable to use.,pothole,5.0,medium,school,5,3
"Tourist vans blocking a public bus stop after recent rain, buses are stopping in the traffic lane.",illegal_parking,7.0,high,commercial,3,1
"Minibuses blocking a public bus stop since yesterday, buses are stopping in the traffic lane.",illegal_parking,7.0,high,commercial,3,1
There is a bad smell coming from the garbage near the street. The waste is visible from the nearby road.,garbage,3.5,low,hospital,2,2
"Landslide warning sign covered by posters near a market, drivers are approaching the hazard too quickly.",road_damaged_sign,8.0,high,market,6,1
"A manhole cover is loose and uneven, creating a dangerous hazard for pedestrians and cyclists, along the industrial access road.",infrastructure,6.5,medium,industrial,4,3
Several holes are visible on the road surface. Buses are slowing down near the damaged section.,pothole,5.0,medium,market,5,3
The garbage container is overflowing and waste is on the road. The waste is spreading after people pass by.,garbage,5.0,medium,hospital,2,3
Wet household rubbish is leaking onto the pavement and creating an unhygienic area near homes near the community area.,domestic_trash,3.0,low,public,0,2
"Garbage bags containing food waste have been left open, attracting dogs and spreading rubbish across the street beside the public access route.",domestic_trash,3.5,low,public,0,2
The road has started breaking around the pothole. It is on a road used by many people.,pothole,5.5,medium,residential,5,3
"No-entry sign cracked with a loose edge near a hospital, drivers are taking wrong turns and causing traffic.",road_damaged_sign,7.0,high,hospital,6,1
"A streetlight pole has been damaged and is leaning toward the pedestrian walkway, near nearby homes.",infrastructure,6.0,medium,residential,4,3
"Wind has scattered plastic waste and paper across the area around an overflowing public bin, along the highway shoulder.",trash,5.5,medium,highway,7,3
The pothole is filled with rainwater and its depth is hard to see. The damaged section is affecting normal traffic.,pothole,6.5,high,residential,5,1
A section of the footpath has sunk below the surrounding surface and is difficult to walk across safely near the main road junction.,infrastructure,8.0,high,highway,4,1
Household waste has been left outside for several days. The waste is visible from the nearby road.,garbage,8.0,high,residential,2,1
The waste collection has not come for a few days. The waste is spreading around the nearby area.,garbage,5.0,medium,school,2,3
"Cross-road drain collapsed beside the road after recent rain, pedestrians could fall into the opening.",drainage,8.0,high,public,1,1
"Stop sign blocked by a vendor board on a residential road, vehicles are entering from conflicting directions.",road_damaged_sign,9.5,critical,residential,6,0
"Minibuses parked across a school gate, children are entering through traffic.",illegal_parking,7.5,high,school,3,1
"Road divider covered with spray-painted tags on a highway, the damage may worsen without repair.",vandalism,4.5,medium,highway,8,3
"One-way sign knocked down near a school, vehicles are entering from conflicting directions.",road_damaged_sign,9.5,critical,school,6,0
"Domestic waste has been dumped beside the residential lane instead of being placed at the collection point, beside the factory service route.",domestic_trash,5.5,medium,industrial,0,3
"Industrial drain covered by construction debris, water cannot reach the outlet.",drainage,5.5,medium,industrial,1,3
"Taxis parked across a school gate after recent rain, children are entering through traffic.",illegal_parking,7.5,high,school,3,1
"Parking restriction sign faded and unreadable near a hospital, parked vehicles are narrowing the road.",road_damaged_sign,6.5,high,hospital,6,1
"Temple wall left with broken tiles on a highway, special cleaning is required.",vandalism,7.0,high,highway,8,1
Trash bags scattered on the street at the road junction.,domestic_trash,4.5,medium,highway,0,3
"Cross-road drain covered by construction debris, water cannot reach the outlet.",drainage,6.5,high,industrial,1,1
A waste collection point is overflowing and loose rubbish is spreading into the nearby road near nearby homes.,trash,7.0,high,residential,7,1
"Residential drain partly blocked by leaves, water drains slowly during rain.",drainage,5.0,medium,public,1,3
There is a bad smell coming from the garbage near the street. The smell is noticeable around the area.,garbage,5.0,medium,school,2,3
"Park signboard marked with offensive words near a school, visitors are using the wrong entrance.",vandalism,6.0,medium,school,8,3
"Uncollected kitchen waste is piling up outside several homes and creating a strong unpleasant smell, along the public walkway.",domestic_trash,9.5,high,public,0,1
There is rubbish around the road and it needs cleaning. Flies are gathering around the waste.,garbage,5.0,medium,school,2,3
A pothole is making vehicles move to the other side of the road. Drivers have to brake suddenly when they notice it.,pothole,6.5,high,hospital,5,1
"Plastic wrappers, cans, and food containers are scattered along the public walkway along the public walkway.",trash,6.0,medium,public,7,3
"Footbridge railing covered with political slogans on a residential road, the public facility is unsafe to use.",vandalism,6.5,high,residential,8,1
"Domestic waste has been dumped beside the residential lane instead of being placed at the collection point, along the student walkway.",domestic_trash,4.0,medium,school,0,3
"Community hall badly scratched in a commercial area, the markings are small but visible.",vandalism,2.5,low,commercial,8,2
"Public gutter partly blocked by leaves, water drains slowly during rain.",drainage,4.5,medium,public,1,3
"Ward-office gate covered with spray-painted tags near a hospital, emergency contact details are blocked.",vandalism,7.0,high,hospital,8,1
The road has started breaking around the pothole. It becomes harder to see when it rains.,pothole,9.0,critical,market,5,0
Dherai din dekhi fohor uthako chaina. Please collect it soon.,garbage,8.0,high,market,2,1
"Minibuses parked on both sides of a narrow road after recent rain, emergency vehicles cannot pass.",illegal_parking,9.5,critical,hospital,3,0
"Road divider covered with pasted flyers on a highway, the public facility is unsafe to use.",vandalism,6.5,high,highway,8,1
"Pedestrian-crossing sign hanging from one bolt near an industrial road, pedestrians cannot find the crossing point.",road_damaged_sign,7.5,high,industrial,6,1
"Graffiti covering the entire front wall of the school, inappropriate messages, children seeing it every day",vandalism,6.0,medium,school,8,3
"Health-post wall damaged with permanent marker near an industrial road, patients cannot read the service details.",vandalism,6.5,high,industrial,8,1
The road has a large uneven section caused by a pothole. The edge of the road is also starting to break.,pothole,7.0,high,school,5,1
"Residential drain blocked with plastic waste, rainwater is flooding the road.",drainage,8.0,high,residential,1,1
"Taxis parked on both sides of a narrow road since yesterday, emergency vehicles cannot pass.",illegal_parking,9.5,critical,hospital,3,0
"Rubbish has been dumped near the hospital access road and is obstructing part of the walkway, along the commercial street.",trash,8.5,high,commercial,7,1
"Government vehicles blocking a residential driveway, residents cannot move their vehicles.",illegal_parking,5.0,medium,residential,3,3
"Temple wall covered with spray-painted tags on a highway, the culturally important surface is damaged.",vandalism,8.5,high,highway,8,1
"Pedestrian-crossing sign knocked down near an industrial road, children are crossing without warning.",road_damaged_sign,8.0,high,industrial,6,1
"Several households have placed overflowing rubbish bags along the roadside, narrowing the pedestrian path, near the community area.",domestic_trash,5.0,medium,public,0,3
"Stop sign missing from its pole on a residential road, vehicles are entering from conflicting directions.",road_damaged_sign,9.0,critical,residential,6,0
Public waste has accumulated beside the entrance and is creating an unpleasant smell for visitors near the warehouse area.,trash,9.0,high,industrial,7,1
"Speed-limit sign cracked with a loose edge in a commercial area, drivers cannot confirm the speed restriction.",road_damaged_sign,6.0,medium,commercial,6,3
"Delivery vans parked along a highway shoulder since yesterday, fast traffic is swerving around them.",illegal_parking,7.5,high,highway,3,1
"A broken curb has created a large gap that forces pedestrians to step closer to moving traffic, beside the highway access route.",infrastructure,9.0,high,highway,4,1
"Roadside drain damaged near a commercial area since yesterday, wastewater is spreading on the footpath.",drainage,7.5,high,commercial,1,1
The road has a large uneven section caused by a pothole. People are asking for the road to be repaired.,pothole,8.0,high,school,5,1
Broken barrier blocking part of the road at the highway.,infrastructure,7.5,high,highway,4,1
Waste is collecting near the drain and blocking the water flow. People are avoiding that part of the street.,garbage,2.0,low,hospital,2,2
"A large crack has developed across the concrete pavement, creating a serious trip hazard for pedestrians, along the public walkway.",infrastructure,6.5,medium,public,4,3
"Food waste dumped beside the road, on the public walkway.",domestic_trash,3.5,low,public,0,2
Food containers scattered near the shops at the industrial road.,trash,4.0,medium,industrial,7,3
विद्यालय को भित्तामा स्प्रे पेन्टले बिगारिएको छ। छिटो सफा गर्नुपर्यो।,vandalism,8.7,critical,school,8,0
"Rental cars blocking a public bus stop after recent rain, buses are stopping in the traffic lane.",illegal_parking,7.5,high,commercial,3,1
